,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
92,2019,Puzhikadakan,District Collector,Jayasurya,,,,1,,,,,,,,,,Girish Nair,5.7
467,2019,Mikhael,George Peter,Siddique,1,,,,1,,,,,,,,,Haneef Adeni,5
498,2019,Mikhael,Police Officer-Issac,Suraj Venjaramoodu,1,,,,1,,,,,,,,,Haneef Adeni,5
30,2019,Mikhael,Dr.John Mikhael,Nivin Pauly,1,,,,1,,,,,,,,,Haneef Adeni,5
1,2019,Driving Licence,Super Star Hareendran,Prithviraj Sukumaran,,,1,1,1,,,,,,,,,Jean Paul Lal,7.2
486,2019,Driving Licence,Kuruvila,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Jean Paul Lal,7.2
3,2019,My Santa,Santa Claus / Abel Abraham Thekkan,Dileep,,,1,1,,,,,1,,,,,Jemin Cyriac,6.1
4,2019,Nine,Albert Lewis and as his Father,Prithviraj Sukumaran,,,,,,,,1,1,,,,,Jenuse Mohammed,7
2,2019,Ittymaani: Made in China,Ittymaani / Ittymaathan,Mohanlal,0,0,1,1,,,,,,,,,,Jibi Joju,4.6
474,2019,Ittymaani:Made in China,Fr.John Paul,Siddique,,,1,1,,,,,,,,,,Jibi Joju,4.6
229,2019,Aadyaraathri,Manoharan,Biju Menon,,,1,1,,,,,,,,,,Jibu Jacob,4.7
466,2019,Vijay Superum Pournamiyum,Chandramohan,Siddique,,,1,1,,,,,,,,,,Jisjoy,7.2
2,2019,Brother's Day,Ronnie,Prithviraj Sukumaran,1,,1,,,,,,,,1,,,Kalabhavan Shajohn,4.5
3,2019,Unda,S. I. Manikandan C.P.,Mammmootty,1,,1,,1,,,,,,,,,Khalid Rahman,7.9
337,2019,Thakkol,Fr.Ambrose Vas Pochampalli,Indrajith Sukumaran,,,,1,1,,,,,,,,,Kiron Prabhakaran,5.4
234,2019,Naalpathiyonnu,Ullas,Biju Menon,,,,1,,,,,,,1,,,Lal Jose,5.4
182,2019,Lonappante Mamodeesa,Lonappan,Jayaram,,,1,1,,,,,,,,,,Leo Thaddeus,5.9
0,2019,Mamangam,Chandroth Valiya Panicker,Mammmootty,1,,,1,,,1,,,,,1,,M.Padmakumar,6.4
478,2019,Mamangam,Thalachennor,Siddique,1,,,1,,,,,,,,,,M.Padmakumar,6.4
472,2019,Uyare,Raveendran,Siddique,,,,1,,,,,,,,,,Manu Ashokan,8
233,2019,Mera Naam Shaji,Shaji Usman,Biju Menon,,,1,,,,,,,,1,,,Nadirsha,4.6
468,2019,Oru Adaar Love,Police Officer,Siddique,,,,,,,,,,,1,,,Omar Lulu,5.5
491,2019,Finals,Varghese,Suraj Venjaramoodu,,,,1,,,,,,,,,,P.R.Arun,3.5
1,2019,Lucifer,Stephen Nedumpally / Khureshi Ab'ram,Mohanlal,1,0,,1,0,1,,,,,,,,Prithviraj Sukumaran,7.5
335,2019,Lucifer,Govardhan,Indrajith Sukumaran,1,,,1,,,,,,,,,,Prithviraj Sukumaran,7.5
91,2019,Thrissur Pooram,Pullu Giri,Jayasurya,1,,,1,1,,,,,,,,,Rajesh Mohanan,5
487,2019,Jimmy Ee Veedinte Aishwaryam,,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Raju Chandra,6.4
1,2019,Ganagandharvan,Kalasadhan Ullas,Mammmootty,,,1,1,,,,,,,,,,Ramesh Pisharody,6.3
475,2019,Gaanagandharvan,Adv.Manoj,Siddique,,,1,1,,,,,,,,,,Ramesh Pisharody,6.3
497,2019,Pernabu,Murugan,Suraj Venjaramoodu,,,,1,,,,,,,,,,Ramesh Pisharody,8.9
489,2019,Android Kunjappan Version 5.25,Bhaskara Poduval,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Ratheesh Balakrishnan Poduval,8.2
2,2019,Jack & Daniel,Jack,Dileep,1,,,,1,,,,,,,,,S.L.Puram Jayasurya,4.4
180,2019,Macroni Mathai,Macroni Mathai,Jayaram,,,1,,,1,,,,,,,,Sanil Kalathil,4.8
2,2019,Pathinettam Padi,John Abraham Palackal,Mammmootty,1,,,1,1,,,,,,,,,Shankar Ramakrishnan,6
3,2019,Pathinettam Padi,Aswin Vasudev,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Shankar Ramakrishnan,6
493,2019,Pathinettaam Padi,Kaniyapuram Narendra,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Shankar Ramakrishnan,6
476,2019,Happy Sardar,Joysy Kochara,Siddique,,,1,,,,,,,,,,,Sudip Joshy,3.4
479,2019,My Santa,Paul Pappan,Siddique,,,1,1,,,,,,,,,,Sugeeth,6.1
477,2019,Ulta,AGDP Mohan Rajeev IPS,Siddique,,,1,1,,,,,,,,,,Suresh Poduval,6.8
1,2019,Subharathri,Krishnan,Dileep,,,,1,,,,,,,1,,,Vyasan K.P,5.9
473,2019,Subharathri,Muhammed,Siddique,,,,1,,,,,,,1,,,Vyasan K.P,5.9
492,2019,Shubarathri,Adv.Harikumar,Suraj Venjaramoodu,,,,1,,,,,,1,,,,Vyasan K.P,5.9
4,2019,Madhura Raja,'Madhura' Raja,Mammmootty,1,,1,1,,,,,,,,,,Vysakh,6.6
471,2019,Madhura Raja,Rajendra Babu IPS,Siddique,1,,,1,,,,,,,,,,Vysakh,6.6
495,2019,Madhura Raja,Idivettu Sugunan,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Vysakh,6.6
482,2020,Shylock,Commissioner Felix John IPS,Siddique,1,,,1,,,,,,,,,,Ajai Vasudev,5.7
27,2020,Varane Avashyamund,Bibeesh. B / Fraud,Dulquer,,,,1,,,,,1,,1,,,Anoop Sathyan,6.9
28,2020,Kannum Kannum Kollaiyadithaal,Siddharth,Dulquer,,,,1,1,,,,,,1,,,Desingh Periyasamy,7.7
481,2020,Uriyadi,SI Ravisankhar,Siddique,,,1,1,,,,,,,,,,John Varghese,4.9
47,2020,Anjaam Pathiraa,Dr. Anwar Hussain,Kunchacko Boban,,,,,1,1,,1,,,,,,Midhun Manuel Thomas,8
90,2020,Anveshanam,Aravind,Jayasurya,,,,1,1,,,1,,,,,,Prashobh Vijayan,6
