,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
400,2008,Kurukshetra,Subedar Maj. Fussy Ahmed,Siddique,,,,,,,,,,,,1,,Major Ravi,5.7
51,2008,Kurukshetra,Colonel Mahadevan,Mohanlal,,,,,,,,,,,,1,,Major Revi,5.7
58,2008,Thirakadha,Akbar Ahammed,Prithviraj Sukumaran,,,,1,,,,,,,1,,,Ranjith,7.4
96,2008,Roudram,ACP Narendran,Mammmootty,1,,,,1,1,,,,,,,,Renji Panicker,4.7
47,2008,Innathe Chintha Vishayam,"Gopakumar ""G. K.""",Mohanlal,,,1,1,,,,,,,,,,Sathyan Anthikkad,5.1
57,2008,Lollipop,Franko,Prithviraj Sukumaran,,,,1,,,,,,,,,,Shafi,3.9
152,2008,Lollipop,Francis(Praanchi),Jayasurya,,,,1,,,,,,,,,,Shafi,3.9
582,2008,Lollipop,Jabbar,Suraj Venjaramoodu,,,,1,,,,,,,,,,Shafi,3.9
155,2008,Shakespeare M.A.Malayalam,Shakespeare' Pavithran,Jayasurya,,,1,1,,,,,,,,,,Shaiju Anthikkad,3.4
53,2008,Pakal Nakshatrangal,Sidharthan,Mohanlal,,,,1,,,,,,,,,,T.Rajeevnath,7
93,2008,Mayabazar,Rameshan/Swami,Mammmootty,,,,1,,,,,,,1,,,Thomas K.Sebastian,2.2
584,2008,Mayabazar ,Pachu,Suraj Venjaramoodu,,,,1,,,,,,,1,,,Thomas K.Sebastian,2.2
46,2008,College Kumaran,Captain Sree Kumar,Mohanlal,,,1,,,,,,,,,,,Thulasidas,2.4
156,2008,Positive,A.S.P.Aniyan,Jayasurya,,,,1,1,,,,,,1,,,V.K.Prakash,4.8
102,2009,Daddy Cool,Antony Simon,Mammmootty,,,,1,,,,,,,,,,Aashiq Abu,4.9
251,2009,Daddy Cool,Roy Alex,Biju Menon,,,,1,,,,,,,,,,Aashiq Abu,4.9
576,2009,Daddy Cool,Mayankutty,Suraj Venjaramoodu,,,,1,,,,,,,,,,Aashiq Abu,4.9
252,2009,Kaana Kanmani,Rajeevan,Biju Menon,,,,1,,,,,1,,,,,Aku Akbar,4.4
574,2009,Kaana Kanmani,Bhaskaran,Suraj Venjaramoodu,,,,1,,,,,1,,,,,Aku Akbar,4.4
41,2009,Sagar Alias Jacky Reloaded,Sagar Alias Jacky,Mohanlal,1,,,,,1,,,,,,,,Amal Neerad,5.2
194,2009,Parayaan Marannathu,Chandrasekharan,Biju Menon,,,,1,,,,,,,,,,Arun S Baskar,6.7
43,2009,Bhramaram,Sivankutty,Mohanlal,,,,1,1,1,,,,,,,,Blessy,7.4
53,2009,Puthiya Mugham,Krishna Kumar,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Deepan,5.6
101,2009,Loudspeaker,Philipose aka 'Mike',Mammmootty,,,,1,,,,,,,,,,Jayaraj,7.4
573,2009,Loudspeaker,Counselor,Suraj Venjaramoodu,,,,1,,,,,,,,,,Jayaraj,7.4
103,2009,Ee Pattanathil Bhootham,Jimmy/Genie,Mammmootty,,,1,,,,,,,,,,,Johny Antony,2.9
577,2009,Ee Pattanathil Bhootham,Shishupalan,Suraj Venjaramoodu,,,1,,,,,,,,,,,Johny Antony,2.9
52,2009,Robin Hood,Venkitesh/Siddharth,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Joshiy,8
253,2009,Robin Hood,Nandakumara Menon,Biju Menon,1,,,,,1,,,,,,,,Joshiy,5.7
145,2009,Robin Hood,ACP Harris,Jayasurya,1,,,1,1,,,,,,,,,Joshiy,5.7
143,2009,Patham Nilayile Theevandi,Ramu,Jayasurya,,,,1,,,,,,1,,,,Joshy Mathew,6.6
55,2009,Ninaithale Inikkum,Shiva,Prithviraj Sukumaran,,,,1,,,,1,,,,,,Kumaravelan,6.4
402,2009,2 Harihar Nagar,Govindan Kutty,Siddique,,,1,,,,,,,,,,,Lal,6.6
99,2009,Kerala Cafe,Unnamed,Mammmootty,,,1,1,,,,,1,1,,,,Lal Jose,7.4
146,2009,Vairam:Fight For Justice,Jose Kutty,Jayasurya,,,,1,,,,,,,,,,M.A.Nishad,5.6
54,2009,Calendar,Ollikkara Sojappan,Prithviraj Sukumaran,,,,1,,,,,,,,,,Mahesh,4.1
151,2009,Love in Singapore,Tony,Jayasurya,,,1,,,,,,,,,,,Meccartin,2.2
42,2009,Bhagavan,Dr. Balagopalan,Mohanlal,,,,,1,,,,,,,,,Prasanth Mambully,2.2
151,2009,Love in Singapore,Tony,Jayasurya,,,1,,,,,,,,,,,Raffi,2.2
104,2009,Love In Singapore,Machu,Mammmootty,,,1,,,,,,,,,,,Raffi,2.2
581,2009,Love in Singapore,Peethambharan Kalarikkavila,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Raffi,2.2
144,2009,Utharaswayamvaram,Prakash,Jayasurya,,,,1,,,,,,,,,,Ramakanth Sarju,3.5
571,2009,Utharaswayamvaram,Pathalam Shaji,Suraj Venjaramoodu,,,,1,,,,,,,,,,Ramakanth Sarju,3.5
98,2009,Paleri Manikyam: Oru Pathirakolapathakathinte Katha,Haridas/Ahmed Haji/Khalid Ahmed,Mammmootty,,,,1,,1,1,1,,,,,,Ranjith,7.7
45,2009,Evidam Swargamanu,Mathews Jeremias,Mohanlal,,,,1,,,,,,,,,,Roshan Andrews,7.2
44,2009,Angel John,Angel John,Mohanlal,,,1,1,,,,,1,,,,,S.L.Puram Jayasurya,2.7
569,2009,My Big Father,Brother of Kaniha,Suraj Venjaramoodu,,,1,1,,,,,,,,,,S.P.Mahesh,4.1
149,2009,Ivar Vivahitharayal,Vivek,Jayasurya,,,1,,,,,,,,,,,Saji Surendran,5.2
403,2009,Ivar Vivahitharayal,Adv. Ananthan Menon,Siddique,,,1,,,,,,,,,,,Saji Surendran,5.2
579,2009,Ivar Vivahitharayal,Adv.Mannanthala Susheel Kumar,Suraj Venjaramoodu,,,1,,,,,,,,,,,Saji Surendran,5.2
97,2009,Chattambinaadu,Virendra Mallayya,Mammmootty,1,,1,1,,,,,,,,,,Shafi,5.6
404,2009,Chattambinaadu,Kattappilly Nagendran,Siddique,1,,,1,,,,,,,,,,Shafi,5.6
568,2009,Chattambinaadu,Dasamoolam Damu,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Shafi,5.6
147,2009,Oru Black And White Kudumbam,Adhithya Varma,Jayasurya,,,1,1,,,,,,,,,,Shaiju Anthikkad,4.3
575,2009,Oru Black And White Kudumbam,Manjulan,Suraj Venjaramoodu,,,,1,,,,,,,,,,Shaiju Anthikkad,4.3
40,2009,Red Chillies,"Oyyarathu Madathil ""O. M. R"" Ramanathan",Mohanlal,1,,,,1,1,,,,,,,,Shaji Kailas,3.7
250,2009,Red Chillies,Stalin,Biju Menon,1,,,,1,,,,,,,,,Shaji Kailas,3.7
572,2009,Duplicate,Shivankutty/Jeevanraj,Suraj Venjaramoodu,,,,1,,,,,,,,,,Shibu Prabhakar,4
150,2009,Currency,Keshu,Jayasurya,,,1,,,,,,,,,,,Swathi Bhaskar,5.2
580,2009,Currency,Indrabalan,Suraj Venjaramoodu,,,1,,,,,,,,,,,Swathi Bhaskar,5.2
100,2009,Pazhassi Raja,Kerala Varma Pazhassi Raja,Mammmootty,1,,,1,,,1,,,,,1,,T.Hariharan,7.6
291,2009,Seetha Kalyanam,Ambi,Indrajith Sukumaran,,,,1,,,,,,,,,,T.K.Rajeev Kumar,3.6
142,2009,Gulumal,Jerry,Jayasurya,,,1,1,1,,,,,,,,,V.K.Prakash,5.2
570,2009,Gulumal,A T S Shambhu,Suraj Venjaramoodu,,,,1,1,,,,,,,,,V.K.Prakash,5.2
56,2009,Nammal Thammil,Vicky,Prithviraj Sukumaran,,,,1,,,,,,,,,,Viji Thampi,3
290,2009,Nammal Thammil,Johny,Indrajith Sukumaran,,,,1,,,,,,,,,,Viji Thampi,3
148,2009,Dr.Patient,Dr.Rubin Isacc/Bobby,Jayasurya,,,1,1,,,,,,,,,,Viswanathan,3.2
578,2009,Dr.Patient,Indrabalan,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Viswanathan,3.2
140,2010,Nallavan,Kochuerukkan,Jayasurya,,,,1,,,,,,,,,,Ali John,2.9
47,2010,Anwar,Anwar,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Amal Neerad,6.4
139,2010,Cocktail,Venkatesh,Jayasurya,,,,1,1,,,,,,,,,Arun Kumar Aravind,7.2
52,2010,Pramaani,Vishwanatha Panicker,Mammmootty,,,,1,,,,,,,,,,B.Unnikrishnan,3.8
46,2010,The Thriller,Niranjan,Prithviraj Sukumaran,,,,1,1,1,,,,,,,,B.Unnikrishnan,4.6
410,2010,The Thriller,A.D.G.P Balagopal IPS,Siddique,,,,,1,1,,,,,,,,B.Unnikrishnan,4.6
562,2010,Pramaani,Maioist Murugan,Suraj Venjaramoodu,,,,1,,,,,,,,,,B.Unnikrishnan,3.8
296,2010,College Days,Rohit Menon,Indrajith Sukumaran,,,,,1,,,,,,,,,G.N.Krishnakumar,5.3
48,2010,Thanthonni,Vadakanveetil Kochukunju,Prithviraj Sukumaran,1,,,1,,,,,,,,,,George Varghese,4.9
563,2010,Thanthonni,Achu,Suraj Venjaramoodu,1,,,1,,,,,,,,,,George Varghese,4.9
565,2010,Cheriya Kallanum Valiya Policum,S.I.Simon Sebastian,Suraj Venjaramoodu,,,,1,,,,,,,,,,Haridas Kesavan,2.8
254,2010,Aagathan,Dr.Sudhi,Biju Menon,,,,1,,,,,,,1,,,Kamal,5.5
405,2010,In Ghost House Inn,Govindan Kutty,Siddique,,,1,,,,,,1,,,,,Lal,5.9
294,2010,Elsamma Enna Aankutty,Eby,Indrajith Sukumaran,,,1,1,,,,,,,,,,Lal Jose,6.2
558,2010,Elsamma Enna Aankutty,Broker Thomachan,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Lal Jose,6.2
564,2010,Payyans,,Suraj Venjaramoodu,,,,1,,,,,,,,,,Leo Thaddeus,3.9
293,2010,Nayakan,Varadhan Unni,Indrajith Sukumaran,1,,,,,1,,,,,,,,Lijo Jose Pellissery,6.6
38,2010,Shikkar,Balaraman,Mohanlal,1,,,1,1,,,,,,,,,M.Padmakumar,6.2
39,2010,Kandahar,Major Mahadevan,Mohanlal,1,,,1,,,,,,,,,,Major Revi,3.4
559,2010,Sakudumbam Shyamala,Kollamkaavu Pappan,Suraj Venjaramoodu,,,1,,,,,,,,,,,Mangalath Radhakrishnan,4.6
50,2010,Raavanan,SP Dev Prakash IPS,Prithviraj Sukumaran,1,1,,1,,,,,,,,,,Mani Ratnam,6.9
48,2010,Best Actor,Mohan,Mammmootty,,,1,1,,,,,,,,,,Martin Prakkat,7
36,2010,Alexander the Great,Alexander Varma,Mohanlal,1,,,1,,,,,,,,,,Murali Nagavally,3.6
35,2010,Janakan,Adv. Surya Narayanan,Mohanlal,,,,,1,1,,,,,,,,N.R.Sanjeev,5.3
255,2010,Janakan,Monayi,Biju Menon,,,,,1,,,,,,,,,N.R.Sanjeev,5.3
53,2010,Yugapurushan,K C Kuttan,Mammmootty,,,,1,,,,,,,,,,R.Sukumaran,7.3
51,2010,Punyam Aham,Narayanan Unni,Prithviraj Sukumaran,,,,1,,,,,,,,,,Raj Nair,5.7
556,2010,Oru Small Family,Bejoysh,Suraj Venjaramoodu,,,,1,,,,,,,,,,Rajasenan,3
37,2010,Oru Naal Varum,Kulappulli Sukumaran / DYSP Nandhakumar,Mohanlal,,,1,1,,,,,,,,,,Rajeev Kumar,4.8
50,2010,Pranchiyettan & the Saint,Chirammal Enashu Francis,Mammmootty,,,1,1,,,,,,,,,,Ranjith,8.3
256,2010,Pranchiyettan and the Saint,Joppan,Biju Menon,,,,1,,,,1,,,,,,Ranjith,8.3
295,2010,Chekavar,Kashinadan,Indrajith Sukumaran,,,,1,,,,,,,,,,Sajeevan,4.7
138,2010,Four Friends,Amir,Jayasurya,,,,1,,,,,,,,,,Saji Surendran,3.6
141,2010,Happy Husbands,John Marthai,Jayasurya,,,1,,,,,,,,,,,Saji Surendran,5.6
292,2010,Happy Husbands,Rahul,Indrajith Sukumaran,,,1,,,,,,,,,,,Saji Surendran,5.6
409,2010,Four Friends,Dr.Siddharth,Siddique,,,,1,,,,,,,,,,Saji Surendran,3.6
567,2010,Happy Husbands,Rajappan,Suraj Venjaramoodu,,,1,,,,,,,,,,,Saji Surendran,5.6
258,2010,Marykkundoru Kunjaadu,Jose,Biju Menon,,,1,,,,,,,,,,,Shafi,6.6
54,2010,Drona 2010,Madhavan/Kunjunni,Mammmootty,1,,,1,,,,1,1,,,,,Shaji Kailas,4
566,2010,Drona 2010,Raghu Uthaman,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Shaji Kailas,4
49,2010,Vandae Maatharam,Gopikrishnan,Mammmootty,1,,,,,,,,,,,,,T.Aravind,5.5
560,2010,Oru Naal varum,Driver Girijan,Suraj Venjaramoodu,,,,1,,,,,,,,,,T.K.Rajeev Kumar,4.8
257,2010,Kaaryasthan,Jayashankar,Biju Menon,,,1,,,,,,,,,,,Thomson K.Thomas,4.9
408,2010,Kaaryasthan,Rajan,Siddique,,,1,,,,,,,,,,,Thomson K.Thomas,4.9
557,2010,Kaaryasthan,Vadivelu,Suraj Venjaramoodu,,,1,,,,,,,,,,,Thomson K.Thomas,4.9
406,2010,April Fool,Music Director Rajesh,Siddique,,,1,,,,,,,,,,,Viji Thampi,3.6
0,2010,Malarvaadi Arts Club,Prakashan,Nivin Pauly,,,1,1,,,,,,,,,,Vineeeth Sreenivasan,6.5
297,2010,Karayilek Oru Kadal Dooram,Anoop Chandran,Indrajith Sukumaran,,,,1,,,,,,,,,,Vinod Mankara,6.5
51,2010,Pokkiri Raja,Madhurai Raja,Mammmootty,1,,1,1,,,,,,,,,,Vysakh,4.9
49,2010,Pokkiri Raja,Surya,Prithviraj Sukumaran,1,,1,1,,,,,,,,,,Vysakh,4.9
407,2010,Pokkiri Raja,Commissioner Rajendra Babu,Siddique,1,,,1,,,,,,,,,,Vysakh,4.9
561,2010,Pokkiri Raja,Idi-Vettu Sugunan,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Vysakh,4.9
33,2011,Vellaripravinte Changathi,,Dileep,,,,1,,,,,,,,,,Aku Akbar,6.2
302,2011,Vellaripravinte Changathi,Manikunju,Indrajith Sukumaran,,,,1,,,,,,,1,,,Aku Akbar,6.2
44,2011,Bombay March 12,Sameer (Sanathanan Bhat),Mammmootty,1,,,,1,,,1,,1,,,,Babu Janardanan,5.6
40,2011,Manushyamrugham,David,Prithviraj Sukumaran,,,,1,,1,,,,,,,,Baburaj,3.8
39,2011,Veetilekulla Vazhi,Doctor,Prithviraj Sukumaran,,,,1,,,,,,1,,,,Bijukumar Damodaran,6.8
301,2011,Veetilekulla Vazhi,Rasaq,Indrajith Sukumaran,,1,,1,,,,,,,,,,Bijukumar Damodaran,6.8
555,2011,The Metro,Sujathan,Suraj Venjaramoodu,1,,,,1,,,,,,,,,Bipin Prabhakar,4.8
2,2011,The Metro,Harikrishnan,Nivin Pauly,1,,,,1,,,,,,,,,Bipin Prabhakar,4.8
33,2011,Pranayam,Mathews,Mohanlal,,,,1,,,,,,,1,,,Blessy,7.4
136,2011,Janapriyan,Priyadarshan,Jayasurya,,,,1,,,,,,1,,,,Boban Samuel,6.3
38,2011,Teja Bhai and Family,Teja Bhai,Prithviraj Sukumaran,,,1,,,,,,,,,,,Deepu Karunakaran,3.5
548,2011,Teja Bhai and Family,Rajaguru Vashyavachassu,Suraj Venjaramoodu,,,,,,,,,,,1,,,Deepu Karunakaran,3.5
45,2011,The Train,Kedarnath,Mammmootty,,,,1,,,,,,,,,,Jayaraj,4.5
132,2011, The Train ,Karthik,Jayasurya,,,,1,,,,,,,,,,Jayaraj,4.5
30,2011,Christian Brothers,Joji Varghese Mapilla,Dileep,1,,,1,1,,,,,,,,,Joshiy,4.8
4,2011,Sevenes,Shyam,Kunchacko Boban,1,,,1,,1,,,,,,,,Joshiy,5.1
259,2011,Christian Brothers,Hariharan Thampy,Biju Menon,1,,,,1,,,,,,,,,Joshiy,4.8
3,2011,Sevenes,Shaukath,Nivin Pauly,1,,,1,,1,,,,,,,,Joshiy,5.1
552,2011,Christian Brothers,Chef,Suraj Venjaramoodu,1,,,,1,,,,,,,,,Joshiy,4.8
5,2011,Doctor Love,Vinayachandran aka Vinayan,Kunchacko Boban,,,,,,,,,,,1,,,K.Biju,5
196,2011,Gaddaama,Radhakrishnan,Biju Menon,,,,1,,,,,,,,,,Kamal,6.8
553,2011,Khaddama,Usman,Suraj Venjaramoodu,,,,1,,,,,,,,,,Kamal,6.8
298,2011,Race,Niranjan,Indrajith Sukumaran,,,,1,1,,,,,,,,,Kukku Surendran,4.1
1,2011,Race,Dr. Abey John,Kunchacko Boban,,,,1,,,,,,,,,,Kukku Surendran,4.1
134,2011,Payyans,Josy,Jayasurya,,,,1,,,,,,,,,,Leo Thaddeus,3.9
42,2011,City of God,Jyothi Lal,Prithviraj Sukumaran,,,,1,,,,,,,,,,Lijo Jose Pellissery,7.1
299,2011,City of God,Swaranavel,Indrajith Sukumaran,,,,1,1,,,,,,,,,Lijo Jose Pellissery,7.1
41,2011,Manikiakallu,Vinayachandran,Prithviraj Sukumaran,,,,1,,,,,,1,,,,M.Mohanan,6.6
6,2011,Sandwich,Sai,Kunchacko Boban,,,1,,,,,,,,,,,M.S.Manu,2
32,2011,Orma Mathram,Pradeep,Dileep,,,,1,,,,,,,,,,Madhu Kaithapram,5.8
551,2011,China Town,Chandran Valanjavazhi,Suraj Venjaramoodu,,,1,,,,,,,,,,,Meccartin,3.7
414,2011,Veeraputhran,Moithu Moulavi,Siddique,,,,1,,,1,,,,,,,P.T.Kunju Muhammed,6.7
547,2011,Oru Marubhoomikkadha,Koya,Suraj Venjaramoodu,,,,,1,,,,,,,,,Priyadarshan,5.3
31,2011,China Town,Binoy,Dileep,1,,1,,,,,,,,,,,Raffi,3.7
32,2011,China Town,Mathukutty,Mohanlal,,,1,,,,,,,,,,,Raffi,3.7
0,2011,Traffic,Dr. Abel Thariyan,Kunchacko Boban,1,1,,,1,,,1,,,,,,Rajesh Pillai,8.1
1,2011,Traffic,Car driver in the last scene,Nivin Pauly,1,1,,,1,,,1,,,,,,Rajesh Pillai,8.1
37,2011,Indian Rupee,Jaiprakash,Prithviraj Sukumaran,,,,1,,,,,,1,,,,Ranjith,7.7
45,2011,Arjunan Sakshi,Roy Mathew,Prithviraj Sukumaran,,,,1,,,,,,,,,,Ranjith Shankar,5.8
43,2011,Urumi,Chirakkal Kelu Nayanar/Krishna Das,Prithviraj Sukumaran,1,,,1,,,,,,,,,,Santosh Sivan,7
34,2011,Snehaveedu,,Mohanlal,,,,1,,,,,,1,,,,Sathyan Anthikkad,5.7
201,2011,Snehaveedu,Balachandran,Biju Menon,,,,1,,,,,,1,,,,Sathyan Anthikkad,5.7
43,2011,Venicile Vyapari,Pavithran,Mammmootty,,,1,1,,,,,,1,,,,Shafi,5
44,2011,Makeup Man,Himself,Prithviraj Sukumaran,,,1,,,,,,,,,,,Shafi,5.2
411,2011,Makeup Man,Sidharth,Siddique,,,1,,,,,,,,,,,Shafi,5.2
546,2011,Venicile Vyaapari,Chandran Pillai,Suraj Venjaramoodu,,,,1,,,,,,,,,,Shafi,5
554,2011,Makeup Man,Kichu,Suraj Venjaramoodu,,,1,,,,,,,,,,,Shafi,5.2
47,2011,August 15,Perumal,Mammmootty,,,,,1,1,,,,,,,,Shaji Kailas,3.6
31,2011,Christian Brothers,Christy Varghese Mappila,Mohanlal,1,,,1,1,,,,,,,,,Siby Thomas,4.8
46,2011,Doubles,Giri,Mammmootty,,,,1,,,,,,,,,,Sohan Seenulal,2.2
550,2011,Doubles,Adv. Lawrence,Suraj Venjaramoodu,1,,,1,,,,,,,,,,Sohan Seenulal,2.2
133,2011,Shankaranum Mohananum,Shankaran/Mohanan,Jayasurya,,,1,,,,,,,,,,,T.V.Chandran,3.8
3,2011,Three Kings,Ramanunni Raja aka Ram,Kunchacko Boban,,,1,,,,,1,,,,,,V.K.Prakash,4
135,2011,Beautiful,Stephen Louis,Jayasurya,,,,1,,,,,,1,,,1,V.K.Prakash,7.5
137,2011,Three Kings,Shankar,Jayasurya,,,1,,,,,,,,,,,V.K.Prakash,4
300,2011,Three Kings,Bhaskaraunni Raja,Indrajith Sukumaran,,,1,,,,,,,,,,,V.K.Prakash,4
197,2011,Seniors,Philip Idikulla,Biju Menon,,,,1,1,,,,,,,,,Vaishak,6.3
412,2011,Natakame Ulakam,Producer Ram Mohan,Siddique,,,1,,,,,,,,,,,Viji Thampi,3.6
2,2011,Seniors,Rex Immanuel,Kunchacko Boban,,,1,,,,,1,,,,,,Vysakh,6.3
413,2011,Seniors,Unnithan,Siddique,,,,1,1,,,,,,,,,Vysakh,6.3
549,2011,Seniors,Thavala Thampi,Suraj Venjaramoodu,,,,1,1,,,,,,,,,Vysakh,6.3
9,2012,Da Thadiya,Rahul Vaidyar,Nivin Pauly,,,1,1,,,,,,,,,,Aashiq Abu,6.1
42,2012,Shikari,Abhijeet/Aruna,Mammmootty,,,,1,,,,,,1,,,,Abhaya Simha,5.1
415,2012,Asuravithu,Shaikh Muhammed IPS,Siddique,1,,,,,,,,,,,,,AK Sajan,3.3
538,2012,Vellaripravinte Changathi,Himself,Suraj Venjaramoodu,,,,1,,,,,,,1,,,Aku Akbar,6.2
306,2012,Bachelor Party,Geevargees,Indrajith Sukumaran,1,,,,,,,,,,,,,Amal Neerad,5.1
307,2012,Mullamottum Munthiricharum,Churatta Jose,Indrajith Sukumaran,,,,1,,,,,,,,,,Aneesh Anwar,4.3
35,2012,Manjadikuru,Vicky,Prithviraj Sukumaran,,,,1,,,,,,1,,,,Anjali Menon,8.2
38,2012,Jawan of Vellimala,Gopi Krishan,Mammmootty,1,,1,,,,,1,,,,,,Anoop Kannan,4.7
419,2012,Ustad Hotel,Abdul Rasak,Siddique,,,,1,,,,,,,1,,,Anwar Rasheed,8.2
1,2012,Ustad Hotel,"Faizal ""Faizy"" Abdul Razak",Dulquer,,,1,1,,,,,,1,,,,Anwer Rasheed,8.2
303,2012,Ee Adutha Kaalathu,Vishnu,Indrajith Sukumaran,,,,,1,,,,,,,,,Arun Kumar Aravind,7.7
27,2012,Grandmaster,Chandrasekhar IPS,Mohanlal,1,,,,1,,,,,,,,,B.Unnikrishnan,7
418,2012,Grandmaster,Paul Mathew,Siddique,,,,,1,,,1,,,,,,B.Unnikrishnan,7
195,2012,Orange,Suku,Biju Menon,,,,1,,,,,,,,,,Biju Varkey,5.1
308,2012,Akashathinte Niram,Young Man,Indrajith Sukumaran,,,,1,,,,,,,,,,Bijukumar Damodaran,7
34,2012,Hero,Tarzen Antony,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Deepan,3.7
36,2012,Bavuttiyude Namathil,Bavutty,Mammmootty,,,1,1,,,,,,,,,,G.S.Vijayan,5.4
29,2012,My Boss,Manu Varma,Dileep,,,1,,,,,,,1,,,,Jeethu Joseph,6.6
6,2012,Bhoopadathil Illatha Oridam,Murali,Nivin Pauly,,,1,1,,,,,,,,,,Joe Chalissery,4.5
39,2012,Thappana,Samson,Mammmootty,1,,,1,,,,,,,,,,Johny Antony,4.7
36,2012,Masters,Sreeramakrishnan,Prithviraj Sukumaran,1,,,,1,,,1,,,,,,Johny Antony,5.7
416,2012,Masters ,Isaac Panicker,Siddique,1,,,,1,,,,,,,,,Johny Antony,5.7
26,2012,Mayamohini,Mayamohini/Mohanakrishnan,Dileep,,,1,1,,,,,,,,,,Jose Thomas,3.5
200,2012,Maayamohini,Balachandran,Biju Menon,,,1,1,,,,,,,,,,Jose Thomas,3.5
29,2012,Run Baby Run,Venu,Mohanlal,1,,1,,1,,,,,,,,,Joshiy,6.6
203,2012,Run Baby Run,Rishikesh,Biju Menon,,,1,,1,,,,,,,,,Joshiy,6.6
420,2012,Run Baby Run,Rajan Kartha,Siddique,,,1,,1,,,,,,,,,Joshiy,6.6
40,2012,Cobra,Raja/Shivadas Naidu,Mammmootty,,,1,,,,,,,1,,,,Lal ,2.6
25,2012,Spanish Masala,Charlie,Dileep,,,1,,,,,,,,1,,,Lal Jose,5.2
7,2012,Spanish Masala,Rahul,Kunchacko Boban,,,1,,,,,,,,1,,,Lal Jose,5.2
30,2012,Ayalum Njanum Thammil,Dr. Ravi Tharakan,Prithviraj Sukumaran,,,,1,,,,,,1,1,,,Lal Jose,8
198,2012,Spanish Masala,Menon,Biju Menon,,,,,,,,,,,1,,,Lal Jose,5.2
4,2012,Spanish Masala,Mathews,Nivin Pauly,,,1,,,,,,,,1,,,Lal Jose,5.2
30,2012,Karmayodha,"Madhava Menon IPS ""Mad Maddy""",Mohanlal,1,,,1,1,1,,,,,,,,Major Revi,4.2
127,2012,Vadhiyar,Anoop Krishna,Jayasurya,,,1,1,,,,,,,,,,Nideesh Shakthi,4.1
305,2012,Outsider,Mukundhan,Indrajith Sukumaran,,,,1,1,,,,,,,,,Premlal,4.2
28,2012,Spirit,Raghu Nandan,Mohanlal,,,1,1,,,,,,,,,,Ranjith,7.5
542,2012,Spirit,Minister Muralikrishnan,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Ranjith,7.5
31,2012,Molly Aunty Rocks,Pranav Roy,Prithviraj Sukumaran,,,,1,,,,,,,,,,Ranjith Shankar,5.9
2,2012,Theevram,Harsha Vardhan,Dulquer,1,,,,1,1,,,,,,,,Roopesh Peethambaran,6.5
26,2012,Casanovva,Casanovva,Mohanlal,1,,,,,,,,,,1,,,Roshan Andrews,3.5
33,2012,Aiyyaa,Surya,Prithviraj Sukumaran,,,1,,,,,,,,1,,,Sachin Kundalkar,4.4
128,2012,Kunjaliyan,Jayaraman,Jayasurya,,,1,1,,,,,,,,,,Saji Surendran,3
131,2012,Husbands in Goa,Govind,Jayasurya,,,1,,,,,,,,,,,Saji Surendran,3.7
309,2012,Husbands in Goa,Jerry,Indrajith Sukumaran,,,,,,,,,,,1,,,Saji Surendran,3.7
540,2012,Husbands in Goa,Vasco,Suraj Venjaramoodu,,,,,,,,,,,1,,,Saji Surendran,3.7
545,2012,Kunjaliyan,Preman,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Saji Surendran,3
28,2012,Mr. Marumakan,Ashok Raj/Ashok Chakravarthy,Dileep,1,,1,,,,,,,,,,,Sandhya Mohan,3.2
541,2012,Mr.Marumakan,Chantha Hamsa,Suraj Venjaramoodu,,,,1,,,,,,1,,,,Sandhya Mohan,3.2
7,2012,Puthiya Theerangal,Mohanan,Nivin Pauly,,,1,1,,,,,,,,,,Sathyan Anthikkad,4.8
421,2012,Puthiya Theerangal,Thamara's Father,Siddique,,,,1,,,,,,,,,,Sathyan Anthikkad,4.8
10,2012,101 Weddings,Krishnankutty aka Krish,Kunchacko Boban,,,1,1,,,,,,1,1,,,Shafi,4.5
126,2012,101 Weddings,Jyothish Kumar,Jayasurya,,,1,1,,,,,,1,,,,Shafi,4.5
539,2012,101 Weddings,Sundareshan,Suraj Venjaramoodu,,,,1,,,,,,,1,,,Shafi,4.5
41,2012,The King & the Commissioner,Joseph Alex Thevliparambil,Mammmootty,1,,,,1,,,,,,,,,Shaji Kailas,3.3
32,2012,Simhasanam,Arjun Madhav,Prithviraj Sukumaran,1,,,1,,,,,,,,,,Shaji Kailas,3
207,2012,Chettaayees,Kichu,Biju Menon,,,1,,,,,,,,,,,Shajoon Karyal,4.7
0,2012,Second Show,"Harilal ""Lalu""",Dulquer,1,,,,,1,,,,,,,,Shrinath Rajendran,7.1
129,2012,English,Shankaran,Jayasurya,,,,1,,,,,,,,,,ShyamaPrasad,5.8
